gutenberg_id,text
41445,[Transcriber’s Note: This text was produced from a photo-reprint of the
41445,1818 edition.]
41445,
41445,
41445,
41445,
41445,                             FRANKENSTEIN;
41445,
41445,"                                  OR,"
41445,
41445,                         THE MODERN PROMETHEUS.
41445,
41445,
41445,    IN THREE VOLUMES.
41445,    VOL. I.
41445,
41445,    London:
41445,
41445,    _PRINTED FOR_
41445,"    LACKINGTON, HUGHES, HARDING, MAVOR, & JONES,"
41445,    FINSBURY SQUARE.
41445,
41445,    1818.
41445,
41445,       *       *       *       *       *
41445,
41445,"    Did I request thee, Maker, from my clay"
41445,    To mould me man? Did I solicit thee
41445,    From darkness to promote me?——
41445,
41445,                                  Paradise Lost.
41445,
41445,       *       *       *       *       *
41445,
41445,                          _TO_
41445,"                     WILLIAM GODWIN,"
41445,"    _AUTHOR OF POLITICAL JUSTICE, CALEB WILLIAMS, &c._"
41445,                      THESE VOLUMES
41445,               _Are respectfully inscribed_
41445,                           BY
41445,                       THE AUTHOR.
41445,
41445,
41445,
41445,
41445,PREFACE.
41445,
41445,
41445,"The event on which this fiction is founded has been supposed, by Dr."
41445,"Darwin, and some of the physiological writers of Germany, as not of"
41445,impossible occurrence. I shall not be supposed as according the remotest
41445,"degree of serious faith to such an imagination; yet, in assuming it as"
41445,"the basis of a work of fancy, I have not considered myself as merely"
41445,weaving a series of supernatural terrors. The event on which the
41445,interest of the story depends is exempt from the disadvantages of a mere
41445,tale of spectres or enchantment. It was recommended by the novelty of
41445,"the situations which it developes; and, however impossible as a physical"
41445,"fact, affords a point of view to the imagination for the delineating of"
41445,human passions more comprehensive and commanding than any which the
41445,ordinary relations of existing events can yield.
41445,
41445,I have thus endeavoured to preserve the truth of the elementary
41445,"principles of human nature, while I have not scrupled to innovate"
41445,"upon their combinations. The _Iliad_, the tragic poetry of"
41445,"Greece,—Shakespeare, in the _Tempest_ and _Midsummer Night’s"
41445,"Dream_,—and most especially Milton, in _Paradise Lost_, conform to this"
41445,"rule; and the most humble novelist, who seeks to confer or receive"
41445,"amusement from his labours, may, without presumption, apply to prose"
41445,"fiction a licence, or rather a rule, from the adoption of which so many"
41445,exquisite combinations of human feeling have resulted in the highest
41445,specimens of poetry.
41445,
41445,The circumstance on which my story rests was suggested in casual
41445,"conversation. It was commenced, partly as a source of amusement, and"
41445,partly as an expedient for exercising any untried resources of mind.
41445,"Other motives were mingled with these, as the work proceeded. I am by no"
41445,means indifferent to the manner in which whatever moral tendencies exist
41445,in the sentiments or characters it contains shall affect the reader; yet
41445,my chief concern in this respect has been limited to the avoiding of the
41445,"enervating effects of the novels of the present day, and to the"
41445,"exhibitions of the amiableness of domestic affection, and the excellence"
41445,of universal virtue. The opinions which naturally spring from the
41445,character and situation of the hero are by no means to be conceived as
41445,existing always in my own conviction; nor is any inference justly to be
41445,drawn from the following pages as prejudicing any philosophical doctrine
41445,of whatever kind.
41445,
41445,"It is a subject also of additional interest to the author, that this"
41445,story was begun in the majestic region where the scene is principally
41445,"laid, and in society which cannot cease to be regretted. I passed the"
41445,"summer of 1816 in the environs of Geneva. The season was cold and rainy,"
41445,"and in the evenings we crowded around a blazing wood fire, and"
41445,"occasionally amused ourselves with some German stories of ghosts, which"
41445,happened to fall into our hands. These tales excited in us a playful
41445,desire of imitation. Two other friends (a tale from the pen of one of
41445,whom would be far more acceptable to the public than any thing I can
41445,"ever hope to produce) and myself agreed to write each a story, founded"
41445,on some supernatural occurrence.
41445,
41445,"The weather, however, suddenly became serene; and my two friends left me"
41445,"on a journey among the Alps, and lost, in the magnificent scenes which"
41445,"they present, all memory of their ghostly visions. The following tale is"
41445,the only one which has been completed.
41445,
41445,
41445,
41445,
41445,FRANKENSTEIN;
41445,
41445,"OR, THE"
41445,
41445,_MODERN PROMETHEUS._
41445,
41445,
41445,
41445,
41445,LETTER I.
41445,
41445,
41445,"_To Mrs._ SAVILLE, _England_."
41445,
41445,"St. Petersburgh, Dec. 11th, 17—."
41445,
41445,You will rejoice to hear that no disaster has accompanied the
41445,commencement of an enterprise which you have regarded with such evil
41445,forebodings. I arrived here yesterday; and my first task is to assure my
41445,"dear sister of my welfare, and increasing confidence in the success of"
41445,my undertaking.
41445,
41445,I am already far north of London; and as I walk in the streets of
41445,"Petersburgh, I feel a cold northern breeze play upon my cheeks, which"
41445,"braces my nerves, and fills me with delight. Do you understand this"
41445,"feeling? This breeze, which has travelled from the regions towards which"
41445,"I am advancing, gives me a foretaste of those icy climes. Inspirited by"
41445,"this wind of promise, my day dreams become more fervent and vivid. I try"
41445,in vain to be persuaded that the pole is the seat of frost and
41445,desolation; it ever presents itself to my imagination as the region of
41445,"beauty and delight. There, Margaret, the sun is for ever visible; its"
41445,"broad disk just skirting the horizon, and diffusing a perpetual"
41445,"splendour. There—for with your leave, my sister, I will put some trust"
41445,"in preceding navigators—there snow and frost are banished; and, sailing"
41445,"over a calm sea, we may be wafted to a land surpassing in wonders and in"
41445,beauty every region hitherto discovered on the habitable globe. Its
41445,"productions and features may be without example, as the phænomena of the"
41445,heavenly bodies undoubtedly are in those undiscovered solitudes. What
41445,may not be expected in a country of eternal light? I may there discover
41445,the wondrous power which attracts the needle; and may regulate a
41445,"thousand celestial observations, that require only this voyage to render"
41445,their seeming eccentricities consistent for ever. I shall satiate my
41445,ardent curiosity with the sight of a part of the world never before
41445,"visited, and may tread a land never before imprinted by the foot of man."
41445,"These are my enticements, and they are sufficient to conquer all fear of"
41445,"danger or death, and to induce me to commence this laborious voyage with"
41445,"the joy a child feels when he embarks in a little boat, with his holiday"
41445,"mates, on an expedition of discovery up his native river. But, supposing"
41445,"all these conjectures to be false, you cannot contest the inestimable"
41445,"benefit which I shall confer on all mankind to the last generation, by"
41445,"discovering a passage near the pole to those countries, to reach which"
41445,at present so many months are requisite; or by ascertaining the secret
41445,"of the magnet, which, if at all possible, can only be effected by an"
41445,undertaking such as mine.
41445,
41445,These reflections have dispelled the agitation with which I began my
41445,"letter, and I feel my heart glow with an enthusiasm which elevates me to"
41445,heaven; for nothing contributes so much to tranquillize the mind as a
41445,"steady purpose,—a point on which the soul may fix its intellectual eye."
41445,This expedition has been the favourite dream of my early years. I have
41445,read with ardour the accounts of the various voyages which have been
41445,made in the prospect of arriving at the North Pacific Ocean through the
41445,"seas which surround the pole. You may remember, that a history of all"
41445,the voyages made for purposes of discovery composed the whole of our
41445,"good uncle Thomas’s library. My education was neglected, yet I was"
41445,"passionately fond of reading. These volumes were my study day and night,"
41445,"and my familiarity with them increased that regret which I had felt, as"
41445,"a child, on learning that my father’s dying injunction had forbidden my"
41445,uncle to allow me to embark in a sea-faring life.
41445,
41445,"These visions faded when I perused, for the first time, those poets"
